doc_id	seg_id	sys	ref	hyp
PDA_CMN_20061214.0261-S1	6	rosetta	This is largely caused by the profound changes that have occurred in America's housing markets.	This is a very large extent on the profound changes that have taken place in the US housing market.
PDA_CMN_20061214.0261-S1	6	nightingale	This is largely caused by the profound changes that have occurred in America's housing markets.	To a large extent, this is the US housing market as the profound changes that have taken place.
PDA_CMN_20061214.0261-S1	11	rosetta	In the next phase, Japan's export growth will slow down significantly.	In the next phase, Japan will be a marked slowdown in export growth.
PDA_CMN_20061214.0261-S1	11	agile	In the next phase, Japan's export growth will slow down significantly.	In the next phase, Japan's export growth has slowed down markedly.
PDA_CMN_20061214.0261-S1	11	nightingale	In the next phase, Japan's export growth will slow down significantly.	In the next stage, Japan's export growth will obviously slowed down.
PDA_CMN_20061214.0261-S1	7	rosetta	After years of wild increases, the housing prices and trading volumes of real estate in the U.S. are both declining.	For many years sober, the US house prices and volumes are declining.
PDA_CMN_20061214.0261-S1	7	agile	After years of wild increases, the housing prices and trading volumes of real estate in the U.S. are both declining.	After many years of, housing prices and trading volume in the United States are on the decline.
PDA_CMN_20061214.0261-S1	7	nightingale	After years of wild increases, the housing prices and trading volumes of real estate in the U.S. are both declining.	After so many years of mad, housing prices in the US and the volume of transactions are in decline.
PDA_CMN_20061214.0261-S1	12	rosetta	The emerging areas in Asia will still witness the most rapid growth, where the growth rate is expected to parallel that of the last century in mid-1990's.	India and ASEAN economic growth will slow down slightly in 2007 and 2008.
PDA_CMN_20061214.0261-S1	12	agile	The emerging areas in Asia will still witness the most rapid growth, where the growth rate is expected to parallel that of the last century in mid-1990's.	India and the ASEAN's economic growth will also slow down slightly in 2007 and 2008.
PDA_CMN_20061214.0261-S1	12	nightingale	The emerging areas in Asia will still witness the most rapid growth, where the growth rate is expected to parallel that of the last century in mid-1990's.	The emerging Asia will remain the most dramatic development momentum in the region, and the growth rate will of the mid century.
PDA_CMN_20061214.0261-S1	2	rosetta	Particularly in China and India, their rapid growths will contribute to the maintenance of the world economy.	its rapid growth, especially in China and India will contribute to the maintenance of the global economy.
PDA_CMN_20061214.0261-S1	2	agile	Particularly in China and India, their rapid growths will contribute to the maintenance of the world economy.	In particular, China and India, will contribute to the maintenance of the global economy with its rapid economic growth.
PDA_CMN_20061214.0261-S1	2	nightingale	Particularly in China and India, their rapid growths will contribute to the maintenance of the world economy.	In particular, China and India, with its rapid growth will contribute to the maintenance of the global economy.
PDA_CMN_20061214.0261-S1	8	rosetta	The booming housing market was one of the main impetuses for the development of the U.S. economy to reach its climax from 2004 to 2006.	Prosperity of housing market in early 2004 to 2006 is one of the major driving forces of economic development culminated in the United States.
PDA_CMN_20061214.0261-S1	8	agile	The booming housing market was one of the main impetuses for the development of the U.S. economy to reach its climax from 2004 to 2006.	The prosperity of the housing market is one of the main driving force behind the economic development of the United States reached its climax in early 2004-2006.
PDA_CMN_20061214.0261-S1	8	nightingale	The booming housing market was one of the main impetuses for the development of the U.S. economy to reach its climax from 2004 to 2006.	The housing market prosperity is from 2004 to 2006 at the beginning of this year the economic development of the US reached a climax of the one of the main driving force.
PDA_CMN_20061214.0261-S1	1	rosetta	The share of the spirited emerging markets within the world economy is growing.	vibrant emerging markets in increasing weight in the world economy.
PDA_CMN_20061214.0261-S1	1	agile	The share of the spirited emerging markets within the world economy is growing.	The vigor of the emerging markets in the world economy.
PDA_CMN_20061214.0261-S1	1	nightingale	The share of the spirited emerging markets within the world economy is growing.	Full of vigor and vitality of the emerging markets in the world economy increasingly greater weight.
PDA_CMN_20061214.0261-S1	4	rosetta	Once these countries suffer from an economic downturn, the world economy (especially the Asian economy) will also be greatly affected.	Once they are in the economy in the doldrums, the world economy, especially the Asian economy, and will be greatly affected.
PDA_CMN_20061214.0261-S1	4	agile	Once these countries suffer from an economic downturn, the world economy (especially the Asian economy) will also be greatly affected.	Once the economic recession, the world economy (in Asia) will be greatly affected.
PDA_CMN_20061214.0261-S1	4	nightingale	Once these countries suffer from an economic downturn, the world economy (especially the Asian economy) will also be greatly affected.	Once they in the economic downturn, the world economy, especially the Asian economy) will also be greatly affected.
PDA_CMN_20061214.0261-S1	13	nightingale	The economic growth of India and the Association of Southeast Asian Nations will also slow down slightly in 2007 and 2008.	India and ASEAN's economic growth in 2007 years and 2008 years will also be a slight slowdown.
PDA_CMN_20061214.0261-S1	10	rosetta	Japan's economy developed rapidly in 2006, but it is also likely to slow down its pace of increase in 2007 and 2008.	Rapid development in 2006, the Japanese economy but the pace of growth in 2007 and 2008 will also slow down.
PDA_CMN_20061214.0261-S1	10	agile	Japan's economy developed rapidly in 2006, but it is also likely to slow down its pace of increase in 2007 and 2008.	The rapid development of the Japanese economy in 2006, but in 2007 and 2008, the pace of growth will slow down.
PDA_CMN_20061214.0261-S1	10	nightingale	Japan's economy developed rapidly in 2006, but it is also likely to slow down its pace of increase in 2007 and 2008.	Japan's economy is developing rapidly in 2006, but in 2007 years and 2008 years, the pace of growth will also slow down.
CNS_CMN_20061207.0301-S1	6	rosetta	In the resolution adopted at the assembly, the All-People Headquarters states:&quot;(South Korean-US FTA negotiations) constitute an unfair consultation process that only benefits the US.&quot;	The KMT and the General Assembly resolution "(ROK FTA) consultation is unequal contribution to the United States".
CNS_CMN_20061207.0301-S1	6	agile	In the resolution adopted at the assembly, the All-People Headquarters states:&quot;(South Korean-US FTA negotiations) constitute an unfair consultation process that only benefits the US.&quot;	The General Assembly resolution said: "(The FTA negotiations) is only the inequality of the contribution of the United States."
CNS_CMN_20061207.0301-S1	6	nightingale	In the resolution adopted at the assembly, the All-People Headquarters states:&quot;(South Korean-US FTA negotiations) constitute an unfair consultation process that only benefits the US.&quot;	Pan country in the General Assembly resolution, said: " (FTA) negotiations South Korea and the US only to the equal contribution to the US side inequality consultations. "
CNS_CMN_20061207.0301-S1	11	rosetta	Crowds of demonstrators of hundreds or up to more than a thousand people staged &quot;guerrilla-type demonstrations&quot; in Namdaemun, Chungmuro, Euljiro, Toegyero and Jongno and other locations respectively.	Demonstrators in southern gateway, Chung Mu, B slip road, respectively, and hundreds of people to 1,000 people who launched the guerrilla demonstrations "
CNS_CMN_20061207.0301-S1	11	agile	Crowds of demonstrators of hundreds or up to more than a thousand people staged &quot;guerrilla-type demonstrations&quot; in Namdaemun, Chungmuro, Euljiro, Toegyero and Jongno and other locations respectively.	The demonstrators in the south gate,-ro, Jongno, several hundred to more than 1,000 people, and road and launched a "guerrilla-style demonstrations"
CNS_CMN_20061207.0301-S1	11	nightingale	Crowds of demonstrators of hundreds or up to more than a thousand people staged &quot;guerrilla-type demonstrations&quot; in Namdaemun, Chungmuro, Euljiro, Toegyero and Jongno and other locations respectively.	Demonstrators in the south gate, the loyal to the slip road, the and river road and Zhong Lu and other places, respectively, several 100 people to more than 1000 people launched a " guerrilla type of. "
