doc_id	seg_id	sys	ref	hyp
PLA_CMN_20061220.0536-S1	8	rosetta	At the drawing ceremony held in Kuala Lumpur's Convention Center on that evening, the Asian Football Confederation also invited Chinese soccer veteran Fan Zhiyi, who was also known as Mr. Asian Football, Japanese soccer star Hidetoshi Nakata, as well as Iranian player Aziz and others as special guests.	The draw in the evening was held in Kuala Lumpur Convention and Exhibition Center, the AFC has also invited the election of Mr. football in Asia Chinese veteran Fan Zhiyi, the Japanese star Hidetoshi Nakata Iranian players such as Aziz as guests.
PLA_CMN_20061220.0536-S1	8	agile	At the drawing ceremony held in Kuala Lumpur's Convention Center on that evening, the Asian Football Confederation also invited Chinese soccer veteran Fan Zhiyi, who was also known as Mr. Asian Football, Japanese soccer star Hidetoshi Nakata, as well as Iranian player Aziz and others as special guests.	In the evening at the drawing ceremony held at the Kuala Lumpur Convention and Exhibition Center, the AFC also specially invited Chinese veteran Fan Zhiyi, Japan, Iran, Aziz was elected president of the Asian football as guests.
PLA_CMN_20061220.0536-S1	8	nightingale	At the drawing ceremony held in Kuala Lumpur's Convention Center on that evening, the Asian Football Confederation also invited Chinese soccer veteran Fan Zhiyi, who was also known as Mr. Asian Football, Japanese soccer star Hidetoshi Nakata, as well as Iranian player Aziz and others as special guests.	In the evening in Kuala Lumpur Convention and Exhibition Center at the drawing of lots ceremony, the also invited Chinese veteran was elected mr Asian Football Association of veteran Fan Zhiyi, Japan stars Hidetoshi Nakata, Iranian players Tareq Aziz as special guests.
PLA_CMN_20061220.0536-S1	6	rosetta	According to the schedule provided by the Asian Football Confederation, the opening match of the 14th Asian Cup Finals will be held between Thailand and Iraq on July 7 next year, and the finals will be held in Jakarta on July 29.	According to the competition schedule of AFC, Asian Cup finals, a match will be on July 7th in Thailand and Iraq, between the finals will be held on July 29th in Jakarta.
PLA_CMN_20061220.0536-S1	6	agile	According to the schedule provided by the Asian Football Confederation, the opening match of the 14th Asian Cup Finals will be held between Thailand and Iraq on July 7 next year, and the finals will be held in Jakarta on July 29.	The Chinese team will play on July 10 with Malaysia in the first round group matches, against Iran on the 15th to the 18th with Uzbekistan.
PLA_CMN_20061220.0536-S1	6	nightingale	According to the schedule provided by the Asian Football Confederation, the opening match of the 14th Asian Cup Finals will be held between Thailand and Iraq on July 7 next year, and the finals will be held in Jakarta on July 29.	According to the Asian Football Association, the 14th Asian Cup finals opening battle will be held on July 7 in Thailand, between Iraq and the team finals will be held July 29 in Jakarta.
PLA_CMN_20061220.0536-S1	4	rosetta	Listed as seeded teams are Australia, Iran, Japan, and South Korea.	Australia, Iran, Japan and South Korea was listed as a hat trick.
PLA_CMN_20061220.0536-S1	4	agile	Listed as seeded teams are Australia, Iran, Japan, and South Korea.	Australia, Iran, Japan and South Korea are listed as top seed.
PLA_CMN_20061220.0536-S1	4	nightingale	Listed as seeded teams are Australia, Iran, Japan, and South Korea.	Australia, the Republic of Iran, Japan and South Korea have been classified as seed teams.
PLA_CMN_20061220.0536-S1	1	rosetta	The drawing of teams for the 2007 Asian Cup Finals was announced in Kuala Lumpur on the evening of the 19th.	The draw for 2007 Asian Cup finals Kuala Lumpur in the evening of the 19th.
